"date","layer.name","layer.depth_m","layer.temp_c"
1981-05-02,"surface",0,9.255
1981-05-02,"cline_top",7.5,8.9835
1981-05-02,"cline_bottom",40.5,4.526
1981-05-02,"bottom",148.5,4.1725
1981-05-03,"surface",0,9.148
1981-05-03,"cline_top",7.5,8.942
1981-05-03,"cline_bottom",41.5,4.5105
1981-05-03,"bottom",148.5,4.1725
1981-05-04,"surface",0,9.035
1981-05-04,"cline_top",8.5,8.843
1981-05-04,"cline_bottom",42.5,4.496
1981-05-04,"bottom",148.5,4.1725
1981-05-05,"surface",0,8.972
1981-05-05,"cline_top",8.5,8.8235
1981-05-05,"cline_bottom",42.5,4.5005
1981-05-05,"bottom",148.5,4.1725
1981-05-06,"surface",0,8.929
1981-05-06,"cline_top",9.5,8.6625
1981-05-06,"cline_bottom",43.5,4.488
1981-05-06,"bottom",148.5,4.1725
1981-05-07,"surface",0,9.413
1981-05-07,"cline_top",3.5,9.106
1981-05-07,"cline_bottom",42.5,4.5135
1981-05-07,"bottom",148.5,4.1725
1981-05-08,"surface",0,10.109
1981-05-08,"cline_top",2.5,9.858
1981-05-08,"cline_bottom",41.5,4.5395
1981-05-08,"bottom",148.5,4.1725
1981-05-09,"surface",0,10.752
1981-05-09,"cline_top",2.5,10.395
1981-05-09,"cline_bottom",40.5,4.5675
1981-05-09,"bottom",148.5,4.1725
1981-05-10,"surface",0,11.434
1981-05-10,"cline_top",1.5,11.2465
1981-05-10,"cline_bottom",38.5,4.635
1981-05-10,"bottom",148.5,4.1725
1981-05-11,"surface",0,11.399
1981-05-11,"cline_top",1.5,11.396
1981-05-11,"cline_bottom",38.5,4.6375
1981-05-11,"bottom",148.5,4.1725
1981-05-12,"surface",0,11.339
1981-05-12,"cline_top",2.5,11.1975
1981-05-12,"cline_bottom",39.5,4.606
1981-05-12,"bottom",148.5,4.1725
1981-05-13,"surface",0,11.137
1981-05-13,"cline_top",3.5,11.0615
1981-05-13,"cline_bottom",39.5,4.609
1981-05-13,"bottom",148.5,4.1725
1981-05-14,"surface",0,11.291
