date,layer.name,layer.depth_m,layer.temp_c
4/28/81,cline_bottom,26.5,8.7715
4/28/81,bottom,45.5,8.6835
4/29/81,surface,1,8.693
4/29/81,cline_top,2.5,8.7045
4/29/81,cline_bottom,26.5,8.7715
4/29/81,bottom,45.5,8.6835
4/30/81,surface,1,8.693
4/30/81,cline_top,2.5,8.7045
4/30/81,cline_bottom,26.5,8.7715
4/30/81,bottom,45.5,8.6835
5/1/81,surface,1,8.693
5/1/81,cline_top,2.5,8.7045
5/1/81,cline_bottom,26.5,8.7715
5/1/81,bottom,45.5,8.6835
5/2/81,surface,1,8.693
5/2/81,cline_top,2.5,8.7045
5/2/81,cline_bottom,26.5,8.7715
5/2/81,bottom,45.5,8.6835
5/3/81,surface,1,8.693
5/3/81,cline_top,2.5,8.7045
5/3/81,cline_bottom,26.5,8.7715
5/3/81,bottom,45.5,8.6835
5/4/81,surface,1,8.693
5/4/81,cline_top,2.5,8.7045
5/4/81,cline_bottom,26.5,8.7715
5/4/81,bottom,45.5,8.6835
5/5/81,surface,1,8.693
5/5/81,cline_top,2.5,8.7045
5/5/81,cline_bottom,26.5,8.7715
5/5/81,bottom,45.5,8.6835
5/6/81,surface,1,8.693
5/6/81,cline_top,2.5,8.7045
5/6/81,cline_bottom,26.5,8.7715
5/6/81,bottom,45.5,8.6835
5/7/81,surface,1,8.693
5/7/81,cline_top,2.5,8.7045
5/7/81,cline_bottom,26.5,8.7715
5/7/81,bottom,45.5,8.6835
5/8/81,surface,1,8.693
5/8/81,cline_top,2.5,8.7045
5/8/81,cline_bottom,26.5,8.7715
5/8/81,bottom,45.5,8.6835
5/9/81,surface,1,8.693
5/9/81,cline_top,2.5,8.7045
5/9/81,cline_bottom,26.5,8.7715
5/9/81,bottom,45.5,8.6835
5/10/81,surface,1,8.693
5/10/81,cline_top,2.5,8.7045
5/10/81,cline_bottom,26.5,8.7715
5/10/81,bottom,45.5,8.6835
5/11/81,surface,1,8.693
5/11/81,cline_top,2.5,8.7045
5/11/81,cline_bottom,26.5,8.7715
5/11/81,bottom,45.5,8.6835
5/12/81,surface,1,8.693
5/12/81,cline_top,2.5,8.7045
5/12/81,cline_bottom,26.5,8.7715
5/12/81,bottom,45.5,8.6835
5/13/81,surface,1,8.693
5/13/81,cline_top,2.5,8.7045
5/13/81,cline_bottom,26.5,8.7715
5/13/81,bottom,45.5,8.6835
5/14/81,surface,1,8.693
5/14/81,cline_top,2.5,8.7045
5/14/81,cline_bottom,26.5,8.7715
5/14/81,bottom,45.5,8.6835
5/15/81,surface,1,8.693
5/15/81,cline_top,2.5,8.7045
5/15/81,cline_bottom,26.5,8.7715
5/15/81,bottom,45.5,8.6835
5/16/81,surface,1,8.693
5/16/81,cline_top,2.5,8.7045
5/16/81,cline_bottom,26.5,8.7715
5/16/81,bottom,45.5,8.6835
5/17/81,surface,1,8.693
5/17/81,cline_top,2.5,8.7045
5/17/81,cline_bottom,26.5,8.7715
5/17/81,bottom,45.5,8.6835
5/18/81,surface,1,8.693
5/18/81,cline_top,2.5,8.7045
5/18/81,cline_bottom,26.5,8.7715
5/18/81,bottom,45.5,8.6835
5/19/81,surface,1,8.693
5/19/81,cline_top,2.5,8.7045
5/19/81,cline_bottom,26.5,8.7715
5/19/81,bottom,45.5,8.6835
5/20/81,surface,1,8.693
5/20/81,cline_top,2.5,8.7045
5/20/81,cline_bottom,26.5,8.7715
5/20/81,bottom,45.5,8.6835
5/21/81,surface,1,8.693
5/21/81,cline_top,2.5,8.7045
5/21/81,cline_bottom,26.5,8.7715
5/21/81,bottom,45.5,8.6835
5/22/81,surface,1,8.693
5/22/81,cline_top,2.5,8.7045
5/22/81,cline_bottom,26.5,8.7715
5/22/81,bottom,45.5,8.6835
5/23/81,surface,1,8.693
5/23/81,cline_top,2.5,8.7045
5/23/81,cline_bottom,26.5,8.7715
5/23/81,bottom,45.5,8.6835
5/24/81,surface,1,8.693
5/24/81,cline_top,2.5,8.7045
5/24/81,cline_bottom,26.5,8.7715
5/24/81,bottom,45.5,8.6835
5/25/81,surface,1,8.693
5/25/81,cline_top,2.5,8.7045
5/25/81,cline_bottom,26.5,8.7715
5/25/81,bottom,45.5,8.6835
5/26/81,surface,1,8.693
5/26/81,cline_top,2.5,8.7045
5/26/81,cline_bottom,26.5,8.7715
5/26/81,bottom,45.5,8.6835
5/27/81,surface,1,8.693
5/27/81,cline_top,2.5,8.7045
5/27/81,cline_bottom,26.5,8.7715
5/27/81,bottom,45.5,8.6835
5/28/81,surface,1,8.693
5/28/81,cline_top,2.5,8.7045
5/28/81,cline_bottom,26.5,8.7715
5/28/81,bottom,45.5,8.6835
5/29/81,surface,1,8.693
5/29/81,cline_top,2.5,8.7045
5/29/81,cline_bottom,26.5,8.7715
5/29/81,bottom,45.5,8.6835
5/30/81,surface,1,8.693
5/30/81,cline_top,2.5,8.7045
5/30/81,cline_bottom,26.5,8.7715
5/30/81,bottom,45.5,8.6835
5/31/81,surface,1,8.693
5/31/81,cline_top,2.5,8.7045
5/31/81,cline_bottom,26.5,8.7715
5/31/81,bottom,45.5,8.6835
6/1/81,surface,1,8.693
6/1/81,cline_top,2.5,8.7045
6/1/81,cline_bottom,26.5,8.7715
6/1/81,bottom,45.5,8.6835
6/2/81,surface,1,8.693
6/2/81,cline_top,2.5,8.7045
6/2/81,cline_bottom,26.5,8.7715
6/2/81,bottom,45.5,8.6835
6/3/81,surface,1,8.693
